state_id,ready_jobs,machine_idle,proc_times_sample,makespan,num_actions,actions
17,"[0, 0, 1, 0]","[0, 0, 1, 1]","[0, 0, 0, 0, 0, 0]",5,1,J3-Op1-M3->sid46
18,"[0, 0, 1, 0]","[1, 0, 0, 1]","[0, 0, 0, 0, 0, 0]",5,1,J3-Op1-M1->sid46
19,"[0, 0, 1, 0]","[1, 0, 1, 0]","[0, 0, 0, 0, 0, 0]",6,2,J3-Op1-M1->sid44; J3-Op1-M3->sid47
20,"[0, 1, 0, 0]","[0, 0, 1, 1]","[0, 0, 0, 0, 4, 3]",5,2,J2-Op1-M3->sid46; J2-Op1-M4->sid44
21,"[0, 1, 0, 0]","[1, 0, 0, 1]","[0, 0, 0, 0, 4, 3]",5,2,J2-Op1-M1->sid46; J2-Op1-M4->sid47
22,"[0, 0, 1, 0]","[0, 1, 0, 1]","[0, 0, 0, 0, 0, 0]",4,1,J3-Op1-M2->sid43
23,"[0, 0, 1, 0]","[1, 0, 0, 1]","[0, 0, 0, 0, 0, 0]",4,1,J3-Op1-M1->sid48
24,"[0, 0, 1, 0]","[1, 1, 0, 0]","[0, 0, 0, 0, 0, 0]",6,2,J3-Op1-M1->sid45; J3-Op1-M2->sid47
25,"[0, 1, 0, 0]","[0, 1, 0, 1]","[0, 0, 0, 0, 4, 3]",4,2,J2-Op1-M2->sid48; J2-Op1-M4->sid45
26,"[0, 1, 0, 0]","[1, 0, 0, 1]","[0, 0, 0, 0, 4, 3]",6,2,J2-Op1-M1->sid43; J2-Op1-M4->sid47
27,"[0, 0, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0, 0, 0]",4,2,J3-Op1-M2->sid44; J3-Op1-M3->sid49
28,"[0, 0, 1, 0]","[1, 0, 1, 0]","[0, 0, 0, 0, 0, 0]",3,2,J3-Op1-M1->sid50; J3-Op1-M3->sid51
29,"[0, 0, 1, 0]","[1, 1, 0, 0]","[0, 0, 0, 0, 0, 0]",2,2,J3-Op1-M1->sid52; J3-Op1-M2->sid47
30,"[0, 1, 0, 0]","[0, 1, 1, 0]","[0, 0, 0, 0, 4, 3]",2,2,J2-Op1-M2->sid50; J2-Op1-M3->sid52
31,"[0, 1, 0, 0]","[1, 0, 1, 0]","[0, 0, 0, 0, 4, 3]",6,2,J2-Op1-M1->sid44; J2-Op1-M3->sid47
32,"[0, 1, 0, 0]","[1, 1, 0, 0]","[0, 0, 0, 0, 4, 3]",3,2,J2-Op1-M1->sid49; J2-Op1-M2->sid51
33,"[1, 0, 0, 0]","[0, 0, 1, 1]","[3, 5, 4, 2, 0, 0]",6,2,J1-Op1-M3->sid43; J1-Op1-M4->sid44
34,"[1, 0, 0, 0]","[0, 1, 0, 1]","[3, 5, 4, 2, 0, 0]",4,2,J1-Op1-M2->sid46; J1-Op1-M4->sid49
35,"[1, 0, 0, 0]","[0, 0, 1, 1]","[3, 5, 4, 2, 0, 0]",3,2,J1-Op1-M3->sid48; J1-Op1-M4->sid50
36,"[1, 0, 0, 0]","[1, 0, 0, 1]","[3, 5, 4, 2, 0, 0]",3,2,J1-Op1-M1->sid42; J1-Op1-M4->sid51
37,"[1, 0, 0, 0]","[0, 1, 0, 1]","[3, 5, 4, 2, 0, 0]",2,2,J1-Op1-M2->sid46; J1-Op1-M4->sid52
38,"[1, 0, 0, 0]","[1, 0, 0, 1]","[3, 5, 4, 2, 0, 0]",6,2,J1-Op1-M1->sid43; J1-Op1-M4->sid47
